INVDET_TXNDATE,INVDET_PROCODE,sale,qty
5/23/2023,1,29070,323
5/24/2023,1,180,2
5/25/2023,1,90,1
5/26/2023,1,990,11
5/30/2023,1,450,5
5/31/2023,1,180,2
6/1/2023,1,540,6
6/2/2023,1,1080,12
6/3/2023,1,450,5
6/5/2023,1,90,1
6/6/2023,1,360,4
6/7/2023,1,90,1
6/8/2023,1,810,9
6/10/2023,1,810,9
6/12/2023,1,900,10
6/14/2023,1,990,11
6/15/2023,1,90,1
6/16/2023,1,270,3
6/17/2023,1,180,2
6/19/2023,1,630,7
6/21/2023,1,180,2
6/22/2023,1,1620,18
6/23/2023,1,180,2
6/25/2023,1,90,1
6/26/2023,1,270,3
6/27/2023,1,270,3
6/28/2023,1,180,2
6/30/2023,1,180,2
7/1/2023,1,2160,24
7/3/2023,1,8820,98
7/4/2023,1,2610,29
7/5/2023,1,720,8
7/6/2023,1,1440,16
7/7/2023,1,1440,16
7/9/2023,1,810,9
7/10/2023,1,2070,23
7/12/2023,1,990,11
7/13/2023,1,90,1
7/15/2023,1,2160,24
7/17/2023,1,360,4
7/21/2023,1,685,8
7/22/2023,1,450,5
7/23/2023,1,180,2
7/24/2023,1,90,1
7/26/2023,1,1440,16
7/27/2023,1,1080,12
7/28/2023,1,180,2
7/29/2023,1,180,2
7/30/2023,1,1800,20
7/31/2023,1,1260,14
8/1/2023,1,90,1
8/3/2023,1,450,5
8/4/2023,1,1170,13
8/7/2023,1,4590,51
8/9/2023,1,630,7
8/10/2023,1,450,5
8/11/2023,1,1170,13
8/12/2023,1,1080,12
8/13/2023,1,0,0
8/14/2023,1,180,2
8/18/2023,1,8640,96
8/20/2023,1,360,4
8/21/2023,1,180,2
8/22/2023,1,270,3
8/23/2023,1,5040,56
8/25/2023,1,360,4
8/26/2023,1,1710,19
8/30/2023,1,1980,22
8/31/2023,1,90,1
9/2/2023,1,90,1
9/4/2023,1,180,2
9/5/2023,1,450,5
9/6/2023,1,270,3
9/8/2023,1,90,1
9/10/2023,1,90,1
9/12/2023,1,1350,15
9/13/2023,1,90,1
9/14/2023,1,180,2
9/20/2023,1,450,5
9/21/2023,1,2340,26
9/22/2023,1,270,3
9/24/2023,1,360,4
9/26/2023,1,1080,12
9/29/2023,1,90,1
9/30/2023,1,4320,48
10/2/2023,1,450,5
10/4/2023,1,720,8
10/5/2023,1,720,8
10/6/2023,1,630,7
10/9/2023,1,360,4
10/10/2023,1,90,1
10/12/2023,1,90,1
10/13/2023,1,270,3
10/15/2023,1,450,5
10/17/2023,1,720,8
10/21/2023,1,540,6
10/24/2023,1,810,9
10/26/2023,1,270,3
10/27/2023,1,630,7
10/28/2023,1,360,4
11/2/2023,1,1080,12
11/4/2023,1,180,2
11/5/2023,1,90,1
11/6/2023,1,2970,33
11/10/2023,1,1080,12
11/12/2023,1,540,6
11/14/2023,1,360,4
11/15/2023,1,900,10
11/17/2023,1,900,10
11/18/2023,1,360,4
11/20/2023,1,990,11
11/22/2023,1,90,1
11/23/2023,1,2340,26
11/26/2023,1,810,10
11/27/2023,1,450,5
11/28/2023,1,1080,12
11/29/2023,1,630,7
11/30/2023,1,2160,24
12/2/2023,1,270,3
12/3/2023,1,270,3
12/4/2023,1,360,4
12/8/2023,1,4500,50
12/10/2023,1,630,7
12/11/2023,1,90,1
12/13/2023,1,270,3
12/14/2023,1,990,11
12/17/2023,1,360,4
12/18/2023,1,630,7
12/19/2023,1,90,1
12/20/2023,1,540,6
12/21/2023,1,900,10
12/22/2023,1,270,3
12/24/2023,1,450,5
12/28/2023,1,1440,16
12/30/2023,1,450,5
12/31/2023,1,1980,22
1/4/2024,1,720,8
1/5/2024,1,720,8
1/6/2024,1,360,4
1/8/2024,1,450,5
1/9/2024,1,450,5
1/12/2024,1,2160,24
1/15/2024,1,90,1
1/16/2024,1,360,4
1/17/2024,1,360,4
1/19/2024,1,180,2
1/20/2024,1,540,6
1/21/2024,1,180,2
1/22/2024,1,450,5
1/23/2024,1,540,6
1/24/2024,1,90,1
1/25/2024,1,540,6
1/28/2024,1,180,2
1/31/2024,1,360,4
2/3/2024,1,90,1
2/4/2024,1,1170,13
2/6/2024,1,0,0
2/9/2024,1,990,11
2/11/2024,1,630,7
2/12/2024,1,180,2
2/13/2024,1,1800,20
2/14/2024,1,540,6
2/16/2024,1,1350,15
